query,topIntent,conversationName,description,answer,enabled,intentAnnotations,exampleDataAnnotations
Which web browser can be used to access Al Ahly Net?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.web.browser.us.access,FAQ: Which web browser can be used to access Al Ahly Net?,,"Supported browsers are Microsoft Edge, Firefox & Google Chrome. Please use the latest versions of these browsers to ensure that the system runs smoothly.",true,,
Which web browser can be used to access Al Ahly Net,ANS.FAQs.alAhlyNet.nbe.mobile.ret.web.browser.us.access,FAQ: Which web browser can be used to access Al Ahly Net?,,"Supported browsers are Microsoft Edge, Firefox & Google Chrome. Please use the latest versions of these browsers to ensure that the system runs smoothly.",true,,
Can transactions carried out via Al Ahly Net/NBE Mobile be inquired about?,ANS.FAQs.alAhlyNet.nbe.mobile.corp.transact.carri.inquir,FAQ: Can transactions carried out via Al Ahly Net/NBE Mobile be inquired about?,,"Yes, you can inquire about transactions carried out via Al Ahly Net/NBE Mobile and their details and download the transaction receipt.",true,,
Can transactions carried out via Al Ahly Net/NBE Mobile be inquired about,ANS.FAQs.alAhlyNet.nbe.mobile.corp.transact.carri.inquir,FAQ: Can transactions carried out via Al Ahly Net/NBE Mobile be inquired about?,,"Yes, you can inquire about transactions carried out via Al Ahly Net/NBE Mobile and their details and download the transaction receipt.",true,,
What are the benefits of using the Corporate Payroll Card Program for my employees?,NBE.Core.PayrollServices,Payroll Services,,,true,,
what is corporate payroll service,NBE.Core.PayrollServices,Payroll Services,,,true,,
What are the fees associated with the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
What are the benefits of the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
What is the maximum amount I can get as a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can I manage my employees' payroll with the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can I prepay my corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How can I access my employees' payroll information with the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How does the Bank Corporate Payroll Current Account Program work?,NBE.Core.PayrollServices,Payroll Services,,,true,,
