languageTag,key,message,annotation
default,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,"The customer signs the subscription application, shows his/her national ID and submits the required ...",
default,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,"The customer signs the subscription application, shows his/her national ID and submits the required ...",
default,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,"The required documents are valid national ID card, commercial register, tax card, lease/ownership co...",
default,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,"The required documents are valid national ID card, commercial register, tax card, lease/ownership co...",
default,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,Name- name of the commercial entity- phone number- merchant's business activity- governorate-if an a...,
default,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,Name- name of the commercial entity- phone number- merchant's business activity- governorate-if an a...,
default,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,Installments: this service allows NBE credit card holders to pay for their purchases in installments...,
default,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,Installments: this service allows NBE credit card holders to pay for their purchases in installments...,
default,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,"Now and for the first time in Egypt, NBE allows merchants to download the application related to (Ta...",
default,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,"Now and for the first time in Egypt, NBE allows merchants to download the application related to (Ta...",
default,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,"Minimum amount for account opening in local currency: EGP 500 (individual) and EGP 5,000 (corporate)...",
default,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,"Minimum amount for account opening in local currency: EGP 500 (individual) and EGP 5,000 (corporate)...",
default,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,"  Yes, you can apply for a cheque book for the current account as per the applicable regulations....",
default,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,"  Yes, you can apply for a cheque book for the current account as per the applicable regulations....",
default,ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,"The terms are one year, 2 years, 3 years, 5 years and 10 years....",
default,ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,"The terms are one year, 2 years, 3 years, 5 years and 10 years....",
default,ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,"Yes, you can open accounts in different currencies such as US dollar, Sterling pound or euro, etc....",
default,ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,"Yes, you can open accounts in different currencies such as US dollar, Sterling pound or euro, etc....",
default,ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,"No. However, you can book/choose one of the deposit products, as you can book a deposit for a term o...",
default,ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,"No. However, you can book/choose one of the deposit products, as you can book a deposit for a term o...",
default,ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,You can redeem a certificate 6 months after its issuance date according to NBE's applicable regulati...,
default,ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,You can redeem a certificate 6 months after its issuance date according to NBE's applicable regulati...,
default,ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,"The terms are 3 years, 5 years and 10 years. ...",
default,ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,"The terms are 3 years, 5 years and 10 years. ...",
default,ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,"Yes, you can borrow against a certificate/deposit according to NBE's applicable regulations. ...",
default,ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,"Yes, you can borrow against a certificate/deposit according to NBE's applicable regulations. ...",
default,ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,"No, once you request an e-statement via email, you will not receive paper statements. ...",
default,ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,"No, once you request an e-statement via email, you will not receive paper statements. ...",
default,ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,"No, you can only open a pension account upon retirement; however, you can choose any other saving ac...",
default,ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,"No, you can only open a pension account upon retirement; however, you can choose any other saving ac...",
default,ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,"Yes, foreigners can open accounts....",
default,ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,"Yes, foreigners can open accounts....",
default,ANS.FAQs.acc.cert.saving.pools.open.joint.acc,"Yes, you can open a joint account....",
default,ANS.FAQs.acc.cert.saving.pools.open.joint.acc,"Yes, you can open a joint account....",
default,ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,"Yes, Al Mostakbal Saving account can be opened starting from the age of 16 years....",
default,ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,"Yes, Al Mostakbal Saving account can be opened starting from the age of 16 years....",
default,ANS.FAQs.acc.cert.saving.pools.card.issu.acc,"Yes, debit cards can be issued for local currency accounts only....",
default,ANS.FAQs.acc.cert.saving.pools.card.issu.acc,"Yes, debit cards can be issued for local currency accounts only....",
default,ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,"There is no maximum amount to open an account, except for the pension saving account as its maximum ...",
default,ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,"There is no maximum amount to open an account, except for the pension saving account as its maximum ...",
default,ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,"Yes, you can open an EGP Small Saving Account or USD/GBP Prizes Saving Account and enter drawings fo...",
default,ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,"Yes, you can open an EGP Small Saving Account or USD/GBP Prizes Saving Account and enter drawings fo...",
default,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statemen...",
default,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statemen...",
default,ANS.FAQs.mortgage.finance.residenti.unit.initi,You can either apply to the Mortgage Finance Fund (its advertisements) or head to one of NBE branche...,
default,ANS.FAQs.mortgage.finance.residenti.unit.initi,You can either apply to the Mortgage Finance Fund (its advertisements) or head to one of NBE branche...,
default,ANS.FAQs.mortgage.finance.requir.financ.residenti.unit,A fully finished unit registered or registrable at the Authority of Real Estate Proclamation and Not...,
default,ANS.FAQs.mortgage.finance.requir.financ.residenti.unit,A fully finished unit registered or registrable at the Authority of Real Estate Proclamation and Not...,
default,ANS.FAQs.auto.loan.borrow.against.new.annual.platinum.cert.monthli.return,You can borrow against the certificate at 2% interest rate above the certificate's rate. The minimum...,
default,ANS.FAQs.auto.loan.borrow.against.new.annual.platinum.cert.monthli.return,You can borrow against the certificate at 2% interest rate above the certificate's rate. The minimum...,
default,ANS.FAQs.auto.loan.max.tenor,The maximum Auto Loan tenor is 7 years. ...,
default,ANS.FAQs.auto.loan.max.tenor,The maximum Auto Loan tenor is 7 years. ...,
default,ANS.FAQs.alAhlyPlatinum.services.subscrib,"Once you qualify, you will be automatically enrolled and contacted by a dedicated relationship manag...",
default,ANS.FAQs.alAhlyPlatinum.services.subscrib,"Once you qualify, you will be automatically enrolled and contacted by a dedicated relationship manag...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.segment,"Simply maintain with NBE a balance equal or above EGP 1,500,000 (or equivalent in any foreign curren...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.segment,"Simply maintain with NBE a balance equal or above EGP 1,500,000 (or equivalent in any foreign curren...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign cur...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign cur...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.elit,"Simply maintain with NBE a balance equal to or above EGP 20,000,000 (or equivalent in any foreign cu...",
default,ANS.FAQs.alAhlyPlatinum.services.qualifi.elit,"Simply maintain with NBE a balance equal to or above EGP 20,000,000 (or equivalent in any foreign cu...",
default,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,"For more information about Road Assistance service, how to register and how to get the service 24/7,...",
default,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,"For more information about Road Assistance service, how to register and how to get the service 24/7,...",
default,ANS.FAQs.alAhlyPlatinum.services.subscrib.concierg,"To activate Concierge service, and review and subscribe to any of the monthly offers 24/7, please vi...",
default,ANS.FAQs.alAhlyPlatinum.services.subscrib.concierg,"To activate Concierge service, and review and subscribe to any of the monthly offers 24/7, please vi...",
default,ANS.FAQs.alAhlyPlatinum.services.s.custom.segment.criteria,"Customers are segmented as per 3 criteria: 
1) Customer's total assets under management (AUMs): Cus...",
default,ANS.FAQs.alAhlyPlatinum.services.s.custom.segment.criteria,"Customers are segmented as per 3 criteria: 
1) Customer's total assets under management (AUMs): Cus...",
default,ANS.FAQs.alAhlyPlatinum.services.subscript.fee.when.appli,These services are free of charge unless the customer's AUMs drop below the minimum requirements sta...,
default,ANS.FAQs.alAhlyPlatinum.services.subscript.fee.when.appli,These services are free of charge unless the customer's AUMs drop below the minimum requirements sta...,
default,ANS.FAQs.alAhlyPlatinum.services.opt,"Please visit the nearest branch or call 19523. Alternatively, you can contact the assigned relations...",
