languageTag,key,message,annotation
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,أسئلة شائعة:  كيف يمكننيي الاشتراك في خدمة السداد الالكتروني للشركات,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,أسئلة شائعة:  كيف يمكننيي الاشتراك في خدمة السداد الالكتروني للشركات,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,أسئلة شائعة:  ما هي المستندات المطلوبة للاشتراك بالخدمة,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,أسئلة شائعة:  ما هي المستندات المطلوبة للاشتراك بالخدمة,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,أسئلة شائعة:  البيانات التي يجب استيفائها في نموذج الاشتراك ,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,أسئلة شائعة:  البيانات التي يجب استيفائها في نموذج الاشتراك ,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,أسئلة شائعة:  ما هي المميزات التي يحصل عليها التاجر من الاشتراك في خدمة الأهلي شوبينج,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,أسئلة شائعة:  ما هي المميزات التي يحصل عليها التاجر من الاشتراك في خدمة الأهلي شوبينج,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,أسئلة شائعة:  ما هي احدث خدمات التحصيل الالكتروني المقدمة من البنك الأهلي المصري,
ar,systemFlowName_ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,أسئلة شائعة:  ما هي احدث خدمات التحصيل الالكتروني المقدمة من البنك الأهلي المصري,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,أسئلة شائعة:  ماهو الحد الادنى لفتح الحساب  ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,أسئلة شائعة:  ماهو الحد الادنى لفتح الحساب  ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,أسئلة شائعة:  هل يمكن اصدار دفتر شيكات للحساب الجارى,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,أسئلة شائعة:  هل يمكن اصدار دفتر شيكات للحساب الجارى,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,أسئلة شائعة:  ما هي مدد الشهادات بالعملة المحلية المتاحه في البنك الأهلي المصري؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,أسئلة شائعة:  ما هي مدد الشهادات بالعملة المحلية المتاحه في البنك الأهلي المصري؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,أسئلة شائعة:  هل يمكن فتح حساب بعملة اجنبية؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,أسئلة شائعة:  هل يمكن فتح حساب بعملة اجنبية؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,أسئلة شائعة:  هل يمكنني عمل شهاده لمدة أسبوع؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,أسئلة شائعة:  هل يمكنني عمل شهاده لمدة أسبوع؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,أسئلة شائعة:  هل يمكنني استرداد الشهاده في أي وقت؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,أسئلة شائعة:  هل يمكنني استرداد الشهاده في أي وقت؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,أسئلة شائعة:  ما هي مدد الشهادات بالعملة الاجنبية المتاحه في البنك الأهلي المصري؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,أسئلة شائعة:  ما هي مدد الشهادات بالعملة الاجنبية المتاحه في البنك الأهلي المصري؟؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,أسئلة شائعة:  هل يمكن الاقتراض بضمان شهادات/الودائع البنك الأهلي المصري؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,أسئلة شائعة:  هل يمكن الاقتراض بضمان شهادات/الودائع البنك الأهلي المصري؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,أسئلة شائعة:  هل يمكنني ان اختار استقبال كشف حساب ورقي و كشف حساب من خلال البريد الالكتروني؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,أسئلة شائعة:  هل يمكنني ان اختار استقبال كشف حساب ورقي و كشف حساب من خلال البريد الالكتروني؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,أسئلة شائعة:  هل يمكنني فتح حساب توفير المعاش وانا لازلت علي قوة شركتي؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,أسئلة شائعة:  هل يمكنني فتح حساب توفير المعاش وانا لازلت علي قوة شركتي؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,أسئلة شائعة:  هل يمكن فتح حساب للأجانب؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,أسئلة شائعة:  هل يمكن فتح حساب للأجانب؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.joint.acc,أسئلة شائعة:  هل يمكن فتح حساب مشترك ,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.open.joint.acc,أسئلة شائعة:  هل يمكن فتح حساب مشترك ,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,أسئلة شائعة:  هل يمكن لطالب اقل من 21 سنة فتح حساب؟ ,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,أسئلة شائعة:  هل يمكن لطالب اقل من 21 سنة فتح حساب؟ ,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.card.issu.acc,أسئلة شائعة:  هل يمكن اصدار بطاقة على الحساب؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.card.issu.acc,أسئلة شائعة:  هل يمكن اصدار بطاقة على الحساب؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,أسئلة شائعة:  هل هناك حد اقصى لفتح الحسابات ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,أسئلة شائعة:  هل هناك حد اقصى لفتح الحسابات ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,أسئلة شائعة:  هل هناك سحوبات جوائز عل الحسابات ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,أسئلة شائعة:  هل هناك سحوبات جوائز عل الحسابات ؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,أسئلة شائعة:  هل هناك بديل لكشف الحساب الورقي او الغاؤه؟,
ar,systemFlowName_ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,أسئلة شائعة:  هل هناك بديل لكشف الحساب الورقي او الغاؤه؟,
ar,systemFlowName_ANS.FAQs.mortgage.finance.residenti.unit.initi,أسئلة شائعة:  كيف يمكنني الحصول على وحدة سكنية في مبادرة التمويل العقاري؟,
ar,systemFlowName_ANS.FAQs.mortgage.finance.residenti.unit.initi,أسئلة شائعة:  كيف يمكنني الحصول على وحدة سكنية في مبادرة التمويل العقاري؟,
ar,systemFlowName_ANS.FAQs.mortgage.finance.requir.financ.residenti.unit,أسئلة شائعة:  ما هي مواصفات الوحدات السكنية القابلة للتمويل؟,
