languageTag,key,message,annotation
ar,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,يقوم العميل بالتوقيع علي طلب الاشتراك في الخدمة و احضار بطاقة الرقم القومي والمستندات المطلوبة وتسلي...,
ar,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,يقوم العميل بالتوقيع علي طلب الاشتراك في الخدمة و احضار بطاقة الرقم القومي والمستندات المطلوبة وتسلي...,
ar,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,المستندات المطلوبة علي ان تكون سارية : بطاقة الرقم القومي- السجل التجاري- البطاقة الضريبية-عقد ايحار...,
ar,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,المستندات المطلوبة علي ان تكون سارية : بطاقة الرقم القومي- السجل التجاري- البطاقة الضريبية-عقد ايحار...,
ar,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,الاسم-اسم الكيان التجاري- رقم الهاتف-نشاط التاجر- المحافظة - هل لديك حساب بالبنك الأهلي المصري ام لا...,
ar,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,الاسم-اسم الكيان التجاري- رقم الهاتف-نشاط التاجر- المحافظة - هل لديك حساب بالبنك الأهلي المصري ام لا...,
ar,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,التقسيط: هذه الخدمة تتيح لحاملي بطاقات ائتمان البنك الأهلي المصري إمكانية تقسيط مشترياتهم لفترات معي...,
ar,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,التقسيط: هذه الخدمة تتيح لحاملي بطاقات ائتمان البنك الأهلي المصري إمكانية تقسيط مشترياتهم لفترات معي...,
ar,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,الان ولأول مرة في مصر يتيح البنك الأهلي المصري للتجار تحميل التطبيق الخاص بخدمة (Tap on Phone) على ا...,
ar,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,الان ولأول مرة في مصر يتيح البنك الأهلي المصري للتجار تحميل التطبيق الخاص بخدمة (Tap on Phone) على ا...,
ar,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,الحد ادنى هو  للحساب بالجنيه المصري: 500 للأفراد- 5000 للشركات....,
ar,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,الحد ادنى هو  للحساب بالجنيه المصري: 500 للأفراد- 5000 للشركات....,
ar,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,نعم يمكنك طلب اصدار دفتر شيكات على الحساب الجاري فقط وفقا والاجراءات المنظمة...,
ar,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,نعم يمكنك طلب اصدار دفتر شيكات على الحساب الجاري فقط وفقا والاجراءات المنظمة...,
ar,ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,"المدد المتاحه : سنة , سنتين , 3 سنوات , 5 سنوات , 10 سنوات....",
