query,topIntent,conversationName,description,answer,enabled
How can I subscribe to the corporate electronic payment service?,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,FAQ: How can I subscribe to the e-payment service for corporates?,,"The customer signs the subscription application, shows his/her national ID and submits the required documents to the nearest branch, noting that the merchant should have an account with the Bank if s/he wishes to conclude a contract directly with our Bank.",TRUE
How can I subscribe to the e-payment service for corporates?,ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,FAQ: How can I subscribe to the e-payment service for corporates?,,"The customer signs the subscription application, shows his/her national ID and submits the required documents to the nearest branch, noting that the merchant should have an account with the Bank if s/he wishes to conclude a contract directly with our Bank.",TRUE
What are the documents required to subscribe to the service?,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,FAQ: What are the required documents to subscribe to the service?,,"The required documents are valid national ID card, commercial register, tax card, lease/ownership contract of the company's premises.
",TRUE
What are the required documents to subscribe to the service?,ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,FAQ: What are the required documents to subscribe to the service?,,"The required documents are valid national ID card, commercial register, tax card, lease/ownership contract of the company's premises.
",TRUE
Data that must be filled in the subscription form,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,FAQ: Information required in the subscription application,,Name- name of the commercial entity- phone number- merchant's business activity- governorate-if an account is held with the National Bank of Egypt,TRUE
Information required in the subscription application,ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,FAQ: Information required in the subscription application,,Name- name of the commercial entity- phone number- merchant's business activity- governorate-if an account is held with the National Bank of Egypt,TRUE
What are the advantages that the merchant gets from subscribing to Al-Ahly Shopping service?,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,FAQ: Benefits obtained by the merchant when subscribing to Al Ahly e-Shopping,,"Installments: this service allows NBE credit card holders to pay for their purchases in installments over specific periods determined by the merchant in agreement with the Bank.

 Merchant gateway allows the merchant to check all the details of the transactions made via the e-payment gateway.

Receive daily statements of the transaction made on the merchant's account.

Successful settlement of the transactions executed via the e-payment gateway in 48 hours.",TRUE
Benefits obtained by the merchant when subscribing to Al Ahly e-Shopping,ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,FAQ: Benefits obtained by the merchant when subscribing to Al Ahly e-Shopping,,"Installments: this service allows NBE credit card holders to pay for their purchases in installments over specific periods determined by the merchant in agreement with the Bank.

 Merchant gateway allows the merchant to check all the details of the transactions made via the e-payment gateway.

Receive daily statements of the transaction made on the merchant's account.

Successful settlement of the transactions executed via the e-payment gateway in 48 hours.",TRUE
What are the latest electronic collection services provided by the National Bank of Egypt?,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,FAQ: What are the latest e-payment services offered by the Bank?,,"Now and for the first time in Egypt, NBE allows merchants to download the application related to (Tap on Phone) service on smart phones that have ""Near-field Communication (NFC)"" feature which allows them to accept payments via all cards (credit, debit, and prepaid cards) by swiping the card on the smart phone's screen for the application to carry out the transaction and send an SMS to the card holder indicating the debit transaction.
This service allows merchants to use the mobile application ""Tap on Phone"" in all the different types of e-payment instead of using the traditional POS, which provides the customers with sophisticated, easy and safe banking experience in performing several banking services.",TRUE
What are the latest e-payment services offered by the Bank?,ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,FAQ: What are the latest e-payment services offered by the Bank?,,"Now and for the first time in Egypt, NBE allows merchants to download the application related to (Tap on Phone) service on smart phones that have ""Near-field Communication (NFC)"" feature which allows them to accept payments via all cards (credit, debit, and prepaid cards) by swiping the card on the smart phone's screen for the application to carry out the transaction and send an SMS to the card holder indicating the debit transaction.
This service allows merchants to use the mobile application ""Tap on Phone"" in all the different types of e-payment instead of using the traditional POS, which provides the customers with sophisticated, easy and safe banking experience in performing several banking services.",TRUE
