languageTag,key,message,annotation
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,يقوم العميل بالتوقيع علي طلب الاشتراك في الخدمة و احضار بطاقة الرقم القومي والمستندات المطلوبة وتسليمهم في اقرب فرع للبنك مع العلم مانه لابد من وجود حساب للتاجر بمصرفنا في حالة رغبة التاجر في التعاقد المباشر مع مصرفنا,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.subscrib.payment.corp,يقوم العميل بالتوقيع علي طلب الاشتراك في الخدمة و احضار بطاقة الرقم القومي والمستندات المطلوبة وتسليمهم في اقرب فرع للبنك مع العلم مانه لابد من وجود حساب للتاجر بمصرفنا في حالة رغبة التاجر في التعاقد المباشر مع مصرفنا,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,المستندات المطلوبة علي ان تكون سارية : بطاقة الرقم القومي- السجل التجاري- البطاقة الضريبية-عقد ايحار/تمليك لمقر الشركة,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.req.document.subscrib,المستندات المطلوبة علي ان تكون سارية : بطاقة الرقم القومي- السجل التجاري- البطاقة الضريبية-عقد ايحار/تمليك لمقر الشركة,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,الاسم-اسم الكيان التجاري- رقم الهاتف-نشاط التاجر- المحافظة - هل لديك حساب بالبنك الأهلي المصري ام لا,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.info.req.subscript.app,الاسم-اسم الكيان التجاري- رقم الهاتف-نشاط التاجر- المحافظة - هل لديك حساب بالبنك الأهلي المصري ام لا,
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,"التقسيط: هذه الخدمة تتيح لحاملي بطاقات ائتمان البنك الأهلي المصري إمكانية تقسيط مشترياتهم لفترات معينة يحددها التاجر مع البنك
بوابة التاجر: تتيح إمكانية التعرف علي كل ما يحاج التاجر لمعرفته فيما يخص المعاملات التي تمت لديه من خلال بوابة الدفع الالكترونية
استلام كشوف حسابات يومية بالمعاملات التي تم تسويتها في حساب التاجر 
تسوية المعاملات التي تمت بنجاح عبربوابة الدفع الالكترونية خلال 48 ساعة",
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.benefit.obtain.merchant.when.subscrib,"التقسيط: هذه الخدمة تتيح لحاملي بطاقات ائتمان البنك الأهلي المصري إمكانية تقسيط مشترياتهم لفترات معينة يحددها التاجر مع البنك
بوابة التاجر: تتيح إمكانية التعرف علي كل ما يحاج التاجر لمعرفته فيما يخص المعاملات التي تمت لديه من خلال بوابة الدفع الالكترونية
استلام كشوف حسابات يومية بالمعاملات التي تم تسويتها في حساب التاجر 
تسوية المعاملات التي تمت بنجاح عبربوابة الدفع الالكترونية خلال 48 ساعة",
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,"الان ولأول مرة في مصر يتيح البنك الأهلي المصري للتجار تحميل التطبيق الخاص بخدمة (Tap on Phone) على الهاتف الذكي المدعم بتقنيه الـ Near-field Communication (NFC)، والتي تمكنهم من قبول المدفوعات من خلال كافة انواع البطاقات (بطاقات الائتمان، بطاقات الخصم المباشر، بطاقات مسبقة الدفع) عن طريق تمرير البطاقة البنكية على واجهه الهاتف الذكي ليقوم التطبيق بدوره بإتمام المعاملة وارسال رسالة نصية لحامل البطاقة تفيد بالخصم. 
الخدمة تتيح للتجار استخدام تطبيق الهاتف المحمول Tap on phone في جميع أنواع التحصيلات المختلفة بديلا عن استخدام نقاط البيع الالكترونية POS التقليدية والتي تتيح للعملاء تجربة مصرفية متطورة سهلة وآمنة لإجراء العديد من الخدمات المصرفية. ",
ar,systemAnswer_ANS.FAQs.alAhlyE-Shopping.latest.payment.offer.bank,"الان ولأول مرة في مصر يتيح البنك الأهلي المصري للتجار تحميل التطبيق الخاص بخدمة (Tap on Phone) على الهاتف الذكي المدعم بتقنيه الـ Near-field Communication (NFC)، والتي تمكنهم من قبول المدفوعات من خلال كافة انواع البطاقات (بطاقات الائتمان، بطاقات الخصم المباشر، بطاقات مسبقة الدفع) عن طريق تمرير البطاقة البنكية على واجهه الهاتف الذكي ليقوم التطبيق بدوره بإتمام المعاملة وارسال رسالة نصية لحامل البطاقة تفيد بالخصم. 
الخدمة تتيح للتجار استخدام تطبيق الهاتف المحمول Tap on phone في جميع أنواع التحصيلات المختلفة بديلا عن استخدام نقاط البيع الالكترونية POS التقليدية والتي تتيح للعملاء تجربة مصرفية متطورة سهلة وآمنة لإجراء العديد من الخدمات المصرفية. ",
